B,G,R,Label
12,234,232,Yellow
15,255,225,Yellow
2,12,10,Black
7,255,244,Yellow
45,184,10,Green
13,133,255,Orange
126,11,135,Purple
10,15,234,Red
8,132,255,Orange
225,83,219,Violet
222,6,0,Blue
13,11,15,Black
46,235,3,Green
209,0,28,Blue
17,144,240,Orange
0,255,0,Green
112,18,137,Purple
0,17,233,Red
191,56,30,Blue
236,239,247,White
6,3,233,Red
116,0,128,Purple
242,248,237,White
224,107,215,Violet
2,5,234,Red
9,20,239,Red
0,227,226,Yellow
20,30,27,Black
7,10,232,Red
183,0,48,Blue
0,136,254,Orange
4,13,7,Black
19,140,237,Orange
120,11,131,Purple
5,0,12,Black
4,219,36,Green
19,18,244,Red
110,0,140,Purple
240,57,41,Blue
12,229,56,Green
34,217,235,Yellow
6,17,249,Red
0,125,255,Orange
7,5,237,Red
8,157,255,Orange
9,134,255,Orange
118,0,67,Indigo
0,5,255,Red
9,15,232,Red
137,0,78,Indigo
12,12,230,Red
33,245,11,Green
215,21,51,Blue
22,142,255,Orange
205,99,197,Violet
245,241,244,White
27,236,243,Yellow
117,15,140,Purple
0,255,244,Yellow
150,0,55,Indigo
235,253,240,White
127,0,62,Indigo
6,20,20,Black
205,48,0,Blue
254,232,233,White
234,96,191,Violet
252,241,232,White
203,93,209,Violet
34,214,56,Green
22,120,255,Orange
10,0,242,Red
227,255,249,White
57,210,37,Green
237,228,253,White
2,4,237,Red
0,134,255,Orange
150,10,78,Indigo
111,13,56,Indigo
15,8,245,Red
237,106,194,Violet
18,236,10,Green
41,188,40,Green
201,0,55,Blue
13,20,247,Red
35,224,30,Green
17,13,238,Red
207,95,193,Violet
244,234,254,White
144,0,73,Indigo
224,93,203,Violet
0,155,238,Orange
126,19,73,Indigo
30,128,255,Orange
140,5,75,Indigo
5,15,243,Red
200,112,213,Violet
15,229,248,Yellow
16,16,22,Black
5,9,243,Red
111,0,65,Indigo
140,16,118,Purple
253,247,225,White
216,96,207,Violet
21,23,9,Black
210,80,197,Violet
21,15,0,Black
194,9,0,Blue
127,15,59,Indigo
142,10,67,Indigo
2,0,246,Red
202,37,13,Blue
30,6,13,Black
216,35,52,Blue
136,0,74,Indigo
29,30,8,Black
7,20,17,Black
229,230,233,White
0,255,222,Yellow
4,10,9,Black
183,25,54,Blue
230,91,183,Violet
202,84,198,Violet
9,30,16,Black
17,3,245,Red
118,13,112,Purple
19,120,255,Orange
11,0,1,Black
206,110,213,Violet
236,104,220,Violet
4,6,250,Red
254,1,48,Blue
19,255,255,Yellow
26,125,255,Orange
26,130,246,Orange
141,3,132,Purple
14,23,25,Black
2,3,235,Red
205,50,52,Blue
223,97,199,Violet
16,28,7,Black
0,223,255,Yellow
120,0,87,Indigo
10,150,243,Orange
239,245,232,White
201,27,0,Blue
0,132,255,Orange
30,151,248,Orange
1,7,231,Red
23,211,255,Yellow
231,103,197,Violet
198,0,25,Blue
222,17,29,Blue
227,250,229,White
130,0,82,Indigo
12,134,249,Orange
146,0,69,Indigo
146,6,109,Purple
6,5,250,Red
108,4,139,Purple
59,194,0,Green
21,28,24,Black
108,0,148,Purple
228,0,19,Blue
142,0,75,Indigo
29,230,239,Yellow
8,252,216,Yellow
130,0,90,Indigo
6,8,255,Red
36,255,234,Yellow
28,124,255,Orange
253,226,252,White
15,151,255,Orange
4,23,6,Black
15,6,22,Black
19,11,250,Red
17,17,232,Red
240,255,243,White
4,9,250,Red
182,38,11,Blue
115,0,118,Purple
228,117,199,Violet
24,30,27,Black
2,25,0,Black
218,13,0,Blue
254,236,244,White
245,39,0,Blue
0,255,215,Yellow
110,10,127,Purple
0,208,28,Green
6,4,255,Red
29,127,255,Orange
235,7,20,Blue
234,233,242,White
26,25,9,Black
0,255,244,Yellow
0,208,0,Green
0,249,0,Green
235,239,248,White
130,0,126,Purple
33,239,45,Green
16,4,236,Red
9,19,3,Black
254,235,252,White
0,185,0,Green
4,123,238,Orange
29,181,25,Green
13,204,47,Green
217,31,40,Blue
19,4,250,Red
1,147,255,Orange
116,0,110,Purple
245,248,238,White
209,19,46,Blue
217,0,33,Blue
30,135,251,Orange
24,25,4,Black
19,153,255,Orange
0,253,255,Yellow
21,230,250,Yellow
114,16,55,Indigo
197,41,29,Blue
227,238,245,White
12,22,21,Black
204,115,195,Violet
20,246,250,Yellow
232,6,13,Blue
3,2,253,Red
10,249,224,Yellow
198,12,43,Blue
18,10,1,Black
15,18,240,Red
226,243,246,White
111,0,82,Indigo
6,4,23,Black
4,248,247,Yellow
19,255,255,Yellow
143,1,120,Purple
31,255,241,Yellow
123,0,138,Purple
30,120,253,Orange
1,28,17,Black
0,255,215,Yellow
252,230,240,White
7,22,2,Black
0,218,237,Yellow
7,18,245,Red
113,0,58,Indigo
237,255,249,White
31,247,255,Yellow
241,243,233,White
50,250,21,Green
14,29,9,Black
6,1,23,Black
2,0,10,Black
0,6,255,Red
235,229,241,White
223,23,3,Blue
255,225,240,White
119,10,112,Purple
201,110,182,Violet
0,128,255,Orange
12,13,30,Black
222,8,23,Blue
225,92,203,Violet
14,141,242,Orange
47,185,40,Green
215,51,49,Blue
240,233,248,White
15,223,211,Yellow
36,225,255,Yellow
3,4,30,Black
23,159,255,Orange
18,6,8,Black
24,7,0,Black
0,236,248,Yellow
19,15,246,Red
234,244,247,White
12,30,18,Black
8,29,2,Black
36,238,240,Yellow
9,2,237,Red
0,207,0,Green
21,13,27,Black
243,255,232,White
246,236,236,White
138,12,131,Purple
126,18,109,Purple
130,1,94,Indigo
239,225,254,White
255,32,0,Blue
0,192,35,Green
10,30,26,Black
234,226,255,White
39,220,255,Yellow
226,97,219,Violet
15,218,210,Yellow
4,8,247,Red
135,0,130,Purple
9,3,30,Black
122,16,90,Indigo
7,18,8,Black
30,134,255,Orange
4,251,0,Green
228,240,241,White
11,3,238,Red
9,12,9,Black
146,0,130,Purple
37,220,255,Yellow
114,9,79,Indigo
230,244,226,White
43,230,26,Green
9,129,244,Orange
233,228,240,White
143,0,81,Indigo
129,0,115,Purple
254,232,249,White
28,133,241,Orange
5,158,241,Orange
3,154,247,Orange
125,16,69,Indigo
253,226,239,White
27,132,255,Orange
217,103,199,Violet
23,7,3,Black
25,149,235,Orange
234,55,51,Blue
200,98,220,Violet
53,238,54,Green
16,18,242,Red
225,241,240,White
239,249,228,White
28,3,15,Black
137,0,113,Purple
200,0,17,Blue
4,4,238,Red
0,5,238,Red
231,120,218,Violet
126,0,75,Indigo
241,39,9,Blue
0,16,232,Red
10,12,23,Black
14,137,255,Orange
208,1,11,Blue
4,8,255,Red
3,8,248,Red
30,30,14,Black
35,247,224,Yellow
27,254,251,Yellow
0,255,218,Yellow
215,48,0,Blue
221,10,24,Blue
0,136,255,Orange
119,0,127,Purple
32,227,18,Green
60,227,48,Green
115,16,71,Indigo
18,230,59,Green
8,7,15,Black
2,16,245,Red
2,9,241,Red
0,127,252,Orange
228,92,195,Violet
16,11,6,Black
58,199,59,Green
181,0,0,Blue
27,25,22,Black
208,31,53,Blue
7,0,252,Red
1,6,235,Red
144,20,84,Indigo
7,2,234,Red
23,235,255,Yellow
0,12,241,Red
123,0,116,Purple
6,197,11,Green
231,105,183,Violet
36,199,0,Green
235,246,254,White
29,148,245,Orange
0,186,10,Green
58,255,47,Green
125,0,82,Indigo
21,0,22,Black
3,10,252,Red
0,151,253,Orange
247,243,229,White
252,254,250,White
5,1,255,Red
1,6,255,Red
1,10,29,Black
8,23,10,Black
200,4,0,Blue
33,224,255,Yellow
0,157,255,Orange
119,0,130,Purple
117,0,91,Indigo
8,16,242,Red
21,154,255,Orange
24,122,253,Orange
140,0,126,Purple
233,252,244,White
122,0,146,Purple
5,220,59,Green
227,235,255,White
8,0,251,Red
0,236,247,Yellow
147,19,111,Purple
251,230,226,White
230,254,253,White
2,133,255,Orange
2,248,8,Green
193,0,60,Blue
0,187,50,Green
116,0,138,Purple
27,1,16,Black
23,207,0,Green
112,5,74,Indigo
31,233,232,Yellow
4,6,6,Black
249,247,230,White
232,13,0,Blue
213,59,3,Blue
10,3,24,Black
238,2,43,Blue
247,245,225,White
232,104,197,Violet
15,231,56,Green
114,2,126,Purple
2,14,244,Red
0,217,55,Green
0,202,60,Green
4,18,5,Black
0,126,255,Orange
11,1,231,Red
223,106,205,Violet
20,211,229,Yellow
39,225,252,Yellow
109,0,135,Purple
14,242,220,Yellow
59,228,37,Green
21,145,255,Orange
13,9,237,Red
19,125,255,Orange
238,236,237,White
3,0,254,Red
17,213,216,Yellow
30,223,255,Yellow
29,30,14,Black
230,234,244,White
23,255,218,Yellow
243,55,0,Blue
16,136,254,Orange
4,186,47,Green
10,124,253,Orange
190,0,45,Blue
238,251,235,White
201,117,209,Violet
231,100,190,Violet
0,191,33,Green
0,226,224,Yellow
140,18,119,Purple
6,12,248,Red
3,10,232,Red
37,237,244,Yellow
0,154,255,Orange
1,7,26,Black
56,231,10,Green
252,237,245,White
0,182,35,Green
242,246,250,White
216,34,0,Blue
13,2,27,Black
229,111,205,Violet
250,252,226,White
0,252,246,Yellow
6,215,44,Green
10,155,248,Orange
33,253,9,Green
239,99,212,Violet
240,254,242,White
19,149,255,Orange
234,226,253,White
255,10,12,Blue
28,159,239,Orange
19,25,25,Black
19,5,246,Red
0,233,42,Green
221,92,218,Violet
132,0,120,Purple
37,207,20,Green
6,12,236,Red
30,210,255,Yellow
246,231,238,White
242,5,18,Blue
237,237,248,White
116,0,56,Indigo
211,94,216,Violet
3,251,220,Yellow
30,147,255,Orange
17,17,250,Red
127,0,62,Indigo
218,14,21,Blue
245,0,34,Blue
234,117,187,Violet
0,203,0,Green
1,1,13,Black
125,0,65,Indigo
235,109,182,Violet
0,219,217,Yellow
203,96,199,Violet
218,47,21,Blue
26,159,255,Orange
212,13,0,Blue
219,34,19,Blue
5,15,233,Red
212,26,5,Blue
6,6,254,Red
18,255,243,Yellow
20,152,236,Orange
6,3,255,Red
23,145,255,Orange
197,47,0,Blue
7,7,253,Red
10,5,255,Red
0,135,254,Orange
255,21,51,Blue
142,17,90,Indigo
208,39,2,Blue
5,5,251,Red
28,149,255,Orange
22,12,24,Black
23,27,5,Black
13,154,238,Orange
12,13,240,Red
0,129,242,Orange
3,22,5,Black
1,229,249,Yellow
117,0,68,Indigo
46,252,24,Green
5,4,13,Black
131,0,148,Purple
15,16,236,Red
31,255,255,Yellow
48,244,10,Green
124,0,67,Indigo
248,15,31,Blue
9,10,245,Red
10,1,238,Red
114,0,129,Purple
6,7,0,Black
0,229,39,Green
21,225,245,Yellow
0,255,24,Green
234,51,59,Blue
244,231,236,White
11,134,255,Orange
255,16,0,Blue
226,243,230,White
12,245,12,Green
0,255,229,Yellow
211,102,216,Violet
187,22,13,Blue
251,31,23,Blue
17,13,244,Red
247,245,241,White
2,191,0,Green
22,222,255,Yellow
0,221,223,Yellow
28,129,236,Orange
231,233,238,White
20,255,0,Green
123,0,92,Indigo
116,0,70,Indigo
142,3,130,Purple
0,251,239,Yellow
57,225,37,Green
46,209,0,Green
9,22,0,Black
28,255,214,Yellow
113,0,148,Purple
12,231,238,Yellow
25,1,6,Black
0,221,37,Green
233,234,239,White
211,0,28,Blue
234,238,227,White
0,223,255,Yellow
228,118,208,Violet
225,231,234,White
3,7,253,Red
114,0,148,Purple
20,14,238,Red
0,150,255,Orange
48,180,42,Green
244,47,57,Blue
9,3,21,Black
24,15,27,Black
8,235,23,Green
250,231,229,White
148,0,114,Purple
251,232,228,White
220,54,9,Blue
12,22,23,Black
223,51,14,Blue
16,126,255,Orange
227,237,228,White
34,244,221,Yellow
111,0,59,Indigo
1,26,1,Black
0,139,255,Orange
0,160,247,Orange
16,0,243,Red
15,210,51,Green
0,216,255,Yellow
0,208,0,Green
21,255,241,Yellow
19,16,25,Black
148,7,134,Purple
135,0,141,Purple
7,4,241,Red
19,196,0,Green
196,15,52,Blue
224,22,45,Blue
239,254,230,White
29,7,6,Black
242,252,232,White
23,9,20,Black
9,3,4,Black
0,247,0,Green
245,228,228,White
21,216,232,Yellow
6,137,244,Orange
255,49,0,Blue
54,244,0,Green
240,245,233,White
0,255,246,Yellow
20,20,2,Black
227,109,212,Violet
232,114,199,Violet
17,20,20,Black
245,249,226,White
10,19,233,Red
138,0,57,Indigo
207,98,219,Violet
221,52,0,Blue
205,43,44,Blue
48,255,0,Green
0,228,16,Green
145,18,119,Purple
0,234,238,Yellow
237,44,51,Blue
236,111,189,Violet
0,224,223,Yellow
207,89,184,Violet
10,0,26,Black
49,217,44,Green
10,8,231,Red
9,157,246,Orange
27,153,239,Orange
26,237,226,Yellow
0,212,251,Yellow
27,16,17,Black
241,246,238,White
5,121,244,Orange
23,25,23,Black
214,9,24,Blue
24,221,237,Yellow
6,120,245,Orange
8,252,213,Yellow
251,227,240,White
27,159,255,Orange
12,23,11,Black
215,4,52,Blue
16,21,19,Black
234,53,60,Blue
9,2,255,Red
114,0,63,Indigo
38,250,255,Yellow
221,0,5,Blue
136,0,70,Indigo
228,231,239,White
135,10,147,Purple
28,9,11,Black
207,87,197,Violet
128,7,140,Purple
228,230,225,White
20,9,237,Red
0,255,230,Yellow
130,8,127,Purple
1,20,9,Black
118,0,140,Purple
49,230,14,Green
0,182,0,Green
28,2,14,Black
9,154,240,Orange
238,250,253,White
109,0,108,Purple
16,255,55,Green
143,9,95,Indigo
16,8,248,Red
31,218,0,Green
240,227,230,White
29,207,41,Green
8,211,222,Yellow
143,0,126,Purple
8,3,21,Black
238,247,227,White
234,225,225,White
141,19,74,Indigo
148,0,71,Indigo
12,8,8,Black
18,157,235,Orange
234,89,204,Violet
6,1,237,Red
125,15,138,Purple
231,28,32,Blue
120,0,116,Purple
19,12,242,Red
231,91,181,Violet
10,8,240,Red
255,0,48,Blue
139,0,145,Purple
27,181,7,Green
234,241,234,White
236,103,204,Violet
244,29,6,Blue
18,8,22,Black
13,8,230,Red
224,23,15,Blue
233,45,0,Blue
109,15,110,Purple
233,118,190,Violet
10,213,10,Green
185,33,26,Blue
130,0,90,Indigo
209,43,0,Blue
250,21,47,Blue
139,13,79,Indigo
252,14,56,Blue
6,26,17,Black
24,253,252,Yellow
241,47,2,Blue
110,0,142,Purple
218,85,214,Violet
229,238,238,White
255,240,253,White
255,249,243,White
0,255,255,Yellow
242,245,251,White
36,244,244,Yellow
122,0,75,Indigo
201,87,181,Violet
110,0,134,Purple
2,143,248,Orange
17,136,253,Orange
29,159,240,Orange
131,0,93,Indigo
227,248,243,White
228,243,232,White
0,145,246,Orange
0,242,235,Yellow
234,254,240,White
2,30,23,Black
236,0,0,Blue
245,254,235,White
13,6,235,Red
26,225,42,Green
4,10,255,Red
218,0,38,Blue
125,10,95,Indigo
2,212,244,Yellow
9,6,242,Red
226,0,19,Blue
185,0,28,Blue
0,255,255,Yellow
137,9,57,Indigo
238,255,228,White
43,217,40,Green
4,122,236,Orange
0,220,255,Yellow
11,13,235,Red
211,111,202,Violet
234,233,241,White
9,18,245,Red
20,253,43,Green
11,226,239,Yellow
12,150,245,Orange
19,21,20,Black
0,125,255,Orange
0,240,29,Green
1,1,255,Red
10,16,230,Red
245,235,251,White
8,13,234,Red
223,48,0,Blue
126,16,83,Indigo
138,0,127,Purple
210,112,198,Violet
225,239,246,White
141,0,89,Indigo
119,14,78,Indigo
36,224,246,Yellow
57,243,0,Green
1,16,239,Red
131,18,132,Purple
11,194,18,Green
12,229,226,Yellow
9,154,247,Orange
13,10,245,Red
0,192,0,Green
29,205,50,Green
126,0,125,Purple
23,18,19,Black
119,0,112,Purple
223,97,202,Violet
227,233,241,White
9,13,246,Red
21,129,242,Orange
0,6,250,Red
42,239,33,Green
9,3,255,Red
145,18,55,Indigo
59,197,2,Green
0,123,255,Orange
143,0,122,Purple
11,28,13,Black
1,8,250,Red
19,26,8,Black
239,88,217,Violet
0,232,38,Green
12,28,1,Black
180,54,30,Blue
45,220,23,Green
128,19,137,Purple
28,152,255,Orange
56,191,0,Green
16,214,243,Yellow
232,84,198,Violet
0,248,32,Green
128,0,81,Indigo
208,98,190,Violet
232,107,180,Violet
194,0,45,Blue
38,247,221,Yellow
37,252,255,Yellow
237,245,237,White
18,5,13,Black
232,244,252,White
113,0,127,Purple
29,132,239,Orange
6,214,255,Yellow
50,195,7,Green
216,50,4,Blue
17,141,250,Orange
29,234,243,Yellow
0,128,238,Orange
5,8,243,Red
0,217,24,Green
234,243,236,White
192,1,33,Blue
27,1,30,Black
217,98,195,Violet
9,6,254,Red
113,0,146,Purple
23,0,1,Black
17,15,237,Red
29,3,24,Black
14,248,58,Green
1,18,5,Black
126,1,64,Indigo
233,252,235,White
59,229,43,Green
137,19,76,Indigo
229,226,243,White
1,14,231,Red
148,15,73,Indigo
230,22,36,Blue
197,6,14,Blue
32,255,17,Green
254,229,243,White
200,7,46,Blue
4,5,255,Red
228,225,244,White
0,11,29,Black
0,255,0,Green
9,5,255,Red
40,236,26,Green
0,243,255,Yellow
0,223,244,Yellow
197,42,1,Blue
21,22,12,Black
218,34,32,Blue
143,0,62,Indigo
209,101,204,Violet
222,104,206,Violet
35,219,228,Yellow
214,96,200,Violet
14,4,11,Black
5,182,44,Green
10,17,245,Red
12,11,6,Black
238,117,201,Violet
108,0,140,Purple
131,0,142,Purple
6,22,13,Black
47,255,7,Green
241,244,246,White
202,12,45,Blue
147,1,63,Indigo
35,248,211,Yellow
251,249,248,White
1,255,221,Yellow
197,44,17,Blue
6,1,250,Red
195,27,0,Blue
0,255,230,Yellow
125,0,138,Purple
2,142,246,Orange
121,0,80,Indigo
140,15,88,Indigo
124,0,114,Purple
4,18,25,Black
24,252,246,Yellow
123,0,118,Purple
21,207,0,Green
120,4,122,Purple
253,246,226,White
24,148,238,Orange
58,255,0,Green
27,21,7,Black
16,140,251,Orange
2,2,255,Red
0,255,230,Yellow
8,248,50,Green
235,231,234,White
28,6,14,Black
248,230,245,White
255,56,45,Blue
251,24,46,Blue
252,234,251,White
211,113,184,Violet
20,252,255,Yellow
20,17,246,Red
209,40,21,Blue
244,242,231,White
6,23,25,Black
3,147,251,Orange
200,52,29,Blue
251,32,0,Blue
4,20,2,Black
10,192,27,Green
115,19,58,Indigo
140,15,63,Indigo
231,251,236,White
10,134,249,Orange
214,55,37,Blue
123,0,71,Indigo
118,0,92,Indigo
10,7,3,Black
0,224,228,Yellow
20,142,254,Orange
14,215,50,Green
2,17,245,Red
147,5,64,Indigo
0,255,249,Yellow
1,205,43,Green
29,6,7,Black
240,225,255,White
227,110,196,Violet
25,143,255,Orange
23,212,38,Green
255,232,242,White
132,0,73,Indigo
27,19,27,Black
19,134,255,Orange
0,217,227,Yellow
4,17,25,Black
1,2,253,Red
229,245,237,White
12,7,23,Black
19,17,250,Red
17,227,210,Yellow
1,187,27,Green
27,27,14,Black
132,5,55,Indigo
1,6,244,Red
25,19,13,Black
119,0,78,Indigo
14,1,7,Black
11,249,250,Yellow
250,36,0,Blue
9,20,231,Red
48,234,16,Green
225,105,210,Violet
249,249,245,White
1,9,246,Red
0,144,241,Orange
6,11,2,Black
255,1,43,Blue
1,20,250,Red
245,230,226,White
0,205,30,Green
25,150,236,Orange
0,241,18,Green
242,239,242,White
135,8,93,Indigo
133,0,129,Purple
251,240,241,White
119,18,88,Indigo
124,3,110,Purple
242,234,251,White
25,155,238,Orange
138,15,117,Purple
38,215,19,Green
5,3,239,Red
10,9,255,Red
248,51,57,Blue
239,237,255,White
24,122,241,Orange
208,112,196,Violet
23,138,242,Orange
9,7,251,Red
113,9,114,Purple
249,244,232,White
8,0,247,Red
2,13,239,Red
234,116,211,Violet
185,59,58,Blue
119,19,88,Indigo
23,191,10,Green
137,8,60,Indigo
34,255,213,Yellow
36,245,35,Green
1,11,25,Black
0,29,5,Black
211,114,216,Violet
6,0,236,Red
0,236,255,Yellow
3,8,233,Red
7,7,244,Red
0,215,23,Green
0,147,247,Orange
115,11,80,Indigo
17,250,249,Yellow
0,248,253,Yellow
0,255,227,Yellow
228,111,180,Violet
25,22,9,Black
11,136,254,Orange
23,29,17,Black
123,5,136,Purple
244,248,253,White
0,192,20,Green
117,1,142,Purple
192,0,34,Blue
186,14,8,Blue
242,0,17,Blue
128,0,135,Purple
2,221,248,Yellow
0,234,255,Yellow
254,252,243,White
14,15,233,Red
211,120,213,Violet
3,137,255,Orange
214,50,17,Blue
10,1,254,Red
118,0,111,Purple
118,0,90,Indigo
8,8,255,Red
1,255,255,Yellow
9,235,245,Yellow
228,235,231,White
5,2,245,Red
127,16,73,Indigo
230,99,217,Violet
14,148,255,Orange
3,22,30,Black
13,1,20,Black
9,25,29,Black
14,17,241,Red
0,255,23,Green
3,0,255,Red
1,13,231,Red
232,11,60,Blue
245,235,240,White
6,30,2,Black
13,1,236,Red
235,117,190,Violet
0,223,251,Yellow
248,238,231,White
124,14,115,Purple
12,154,255,Orange
18,225,255,Yellow
11,24,17,Black
220,32,19,Blue
10,149,255,Orange
4,1,235,Red
19,6,230,Red
28,11,22,Black
147,0,109,Purple
208,110,192,Violet
2,3,244,Red
2,142,235,Orange
124,5,114,Purple
202,45,46,Blue
3,6,236,Red
122,3,146,Purple
16,23,29,Black
17,8,29,Black
17,140,255,Orange
3,4,255,Red
3,16,249,Red
231,239,234,White
18,13,243,Red
248,43,0,Blue
0,229,255,Yellow
32,255,243,Yellow
57,197,12,Green
236,5,7,Blue
2,18,241,Red
210,106,194,Violet
13,8,248,Red
0,228,3,Green
123,13,140,Purple
5,229,0,Green
0,255,255,Yellow
133,0,120,Purple
18,129,255,Orange
54,206,49,Green
57,247,12,Green
20,10,30,Black
120,0,82,Indigo
13,12,232,Red
252,248,227,White
210,24,5,Blue
253,252,242,White
224,80,185,Violet
215,103,205,Violet
28,139,255,Orange
0,218,10,Green
18,26,14,Black
222,86,202,Violet
190,1,0,Blue
120,0,60,Indigo
3,26,27,Black
242,49,0,Blue
240,36,0,Blue
250,242,228,White
127,8,72,Indigo
249,247,235,White
9,131,255,Orange
0,12,6,Black
252,229,240,White
243,43,42,Blue
17,4,20,Black
20,6,239,Red
38,255,255,Yellow
225,240,253,White
13,156,255,Orange
15,20,238,Red
8,6,5,Black
237,108,212,Violet
192,54,22,Blue
141,10,127,Purple
22,157,250,Orange
232,99,191,Violet
17,123,241,Orange
244,237,241,White
121,0,66,Indigo
123,0,56,Indigo
30,154,239,Orange
29,215,255,Yellow
0,135,255,Orange
10,214,13,Green
134,0,68,Indigo
9,0,255,Red
3,7,3,Black
21,122,247,Orange
232,232,252,White
10,254,52,Green
239,105,191,Violet
37,183,49,Green
0,249,249,Yellow
10,13,19,Black
15,254,226,Yellow
30,29,17,Black
2,148,242,Orange
133,15,85,Indigo
14,228,253,Yellow
244,246,234,White
19,122,255,Orange
251,239,231,White
133,9,124,Purple
205,33,18,Blue
110,7,111,Purple
240,237,229,White
234,228,250,White
0,245,255,Yellow
201,19,4,Blue
21,24,0,Black
24,14,20,Black
221,119,197,Violet
22,16,16,Black
16,128,240,Orange
128,4,115,Purple
28,16,0,Black
7,19,241,Red
0,143,255,Orange
3,9,255,Red
241,0,25,Blue
205,93,215,Violet
0,219,57,Green
206,1,16,Blue
30,4,22,Black
30,29,19,Black
39,211,223,Yellow
117,0,81,Indigo
0,120,255,Orange
27,16,11,Black
244,244,231,White
237,102,211,Violet
9,5,255,Red
0,248,248,Yellow
241,59,0,Blue
33,234,246,Yellow
30,138,255,Orange
45,210,23,Green
5,217,253,Yellow
131,2,139,Purple
230,247,231,White
6,139,255,Orange
147,0,112,Purple
60,226,0,Green
113,14,57,Indigo
2,9,2,Black
7,15,248,Red
14,23,11,Black
0,250,23,Green
192,0,27,Blue
0,222,255,Yellow
111,0,72,Indigo
6,26,9,Black
11,25,28,Black
10,4,230,Red
2,30,29,Black
15,146,255,Orange
234,96,205,Violet
0,8,255,Red
132,5,111,Purple
15,9,248,Red
56,194,56,Green
4,154,255,Orange
11,9,29,Black
24,142,247,Orange
183,26,0,Blue
12,11,234,Red
231,248,244,White
219,31,16,Blue
26,10,19,Black
246,250,235,White
5,10,255,Red
248,247,236,White
25,142,243,Orange
253,34,50,Blue
7,21,16,Black
230,242,246,White
2,149,255,Orange
18,137,255,Orange
113,19,108,Purple
110,15,70,Indigo
17,12,239,Red
18,16,26,Black
232,250,226,White
230,231,244,White
0,221,250,Yellow
236,106,210,Violet
213,18,46,Blue
18,238,230,Yellow
215,39,6,Blue
243,247,254,White
0,123,238,Orange
110,0,136,Purple
245,231,245,White
5,192,58,Green
216,111,219,Violet
250,230,225,White
3,6,7,Black
232,110,216,Violet
235,230,245,White
0,225,255,Yellow
0,246,45,Green
225,247,233,White
9,6,245,Red
15,30,27,Black
0,255,255,Yellow
241,46,0,Blue
17,10,22,Black
248,225,233,White
245,235,231,White
0,226,11,Green
238,0,0,Blue
29,255,230,Yellow
24,245,231,Yellow
234,231,245,White
15,160,242,Orange
8,5,236,Red
7,25,11,Black
37,192,29,Green
244,238,240,White
0,254,44,Green
127,0,115,Purple
11,21,13,Black
33,242,224,Yellow
238,94,211,Violet
9,242,255,Yellow
205,0,6,Blue
39,217,230,Yellow
0,244,0,Green
236,89,201,Violet
145,0,62,Indigo
0,246,233,Yellow
127,0,70,Indigo
143,19,64,Indigo
2,12,25,Black
233,247,251,White
0,218,210,Yellow
219,100,212,Violet
7,26,5,Black
234,118,210,Violet
206,91,206,Violet
26,248,247,Yellow
13,252,232,Yellow
243,255,250,White
29,129,240,Orange
120,0,110,Purple
10,18,233,Red
241,43,30,Blue
252,230,251,White
225,231,232,White
252,60,4,Blue
218,86,201,Violet
10,5,28,Black
144,0,144,Purple
200,115,194,Violet
0,149,237,Orange
0,218,255,Yellow
132,16,124,Purple
131,0,131,Purple
39,196,38,Green
230,120,193,Violet
15,198,45,Green
113,0,95,Indigo
254,225,252,White
229,251,228,White
216,2,52,Blue
21,26,8,Black
120,0,64,Indigo
23,0,24,Black
11,244,216,Yellow
44,224,57,Green
150,9,77,Indigo
20,24,7,Black
15,237,255,Yellow
8,0,233,Red
214,116,183,Violet
54,193,0,Green
137,0,132,Purple
11,17,237,Red
14,155,248,Orange
0,209,9,Green
14,219,246,Yellow
4,2,250,Red
28,145,245,Orange
17,11,15,Black
19,7,234,Red
36,210,235,Yellow
29,140,255,Orange
141,4,80,Indigo
24,233,49,Green
0,255,25,Green
140,0,109,Purple
20,8,30,Black
0,186,2,Green
18,20,248,Red
0,207,21,Green
228,85,198,Violet
184,52,15,Blue
214,116,220,Violet
182,3,42,Blue
221,41,15,Blue
139,0,120,Purple
8,20,246,Red
1,15,1,Black
237,226,252,White
0,255,255,Yellow
128,0,110,Purple
8,16,11,Black
20,158,243,Orange
11,229,4,Green
7,27,22,Black
125,0,137,Purple
2,13,27,Black
136,20,115,Purple
33,180,54,Green
247,240,239,White
30,29,4,Black
111,12,68,Indigo
144,10,84,Indigo
135,0,76,Indigo
144,12,116,Purple
1,1,255,Red
225,90,216,Violet
18,21,16,Black
15,4,235,Red
1,4,247,Red
230,254,249,White
0,253,14,Green
8,14,230,Red
139,9,82,Indigo
0,144,255,Orange
17,9,244,Red
18,208,40,Green
118,0,68,Indigo
206,88,206,Violet
121,19,83,Indigo
248,36,54,Blue
199,60,3,Blue
5,24,7,Black
7,136,255,Orange
118,0,136,Purple
29,219,210,Yellow
255,0,2,Blue
46,210,0,Green
9,7,246,Red
119,0,128,Purple
218,19,0,Blue
232,243,252,White
251,227,231,White
214,86,191,Violet
228,225,241,White
10,153,243,Orange
18,1,10,Black
134,12,82,Indigo
25,218,255,Yellow
237,226,248,White
7,11,231,Red
126,0,89,Indigo
2,13,230,Red
24,11,10,Black
0,149,255,Orange
0,191,17,Green
19,4,236,Red
18,231,36,Green
51,181,0,Green
225,241,235,White
35,233,255,Yellow
227,85,206,Violet
0,252,255,Yellow
